U+2A9F8	𪧸	giog
U+2A9F9	𪧹	irdi
U+2A9FA	𪧺	aodi
U+2A9FB	𪧻	hhdiq
U+2A9FC	𪧼	jvdi
U+2A9FD	𪧽	mfgti
U+2A9FE	𪧾	siuog
U+2A9FF	𪧿	obf
U+2AA00	𪨀	fuu
U+2AA01	𪨁	bdf
U+2AA02	𪨂	ycf
U+2AA03	𪨃	fqyj
U+2AA04	𪨄	fhcsc
U+2AA05	𪨅	fokg
U+2AA06	𪨆	fhfwv
U+2AA07	𪨇	mulmo
U+2AA08	𪨈	iurli
U+2AA09	𪨉	smu
U+2AA0A	𪨊	soo
U+2AA0B	𪨋	shg
U+2AA0C	𪨌	stp
U+2AA0D	𪨍	sohe
U+2AA0E	𪨎	soksr
U+2AA0F	𪨏	sylh
U+2AA10	𪨐	syki
U+2AA11	𪨑	sojwj
U+2AA12	𪨒	stlg
U+2AA13	𪨓	syrb
U+2AA14	𪨔	sndu
U+2AA15	𪨕	suuu
U+2AA16	𪨖	suwl
U+2AA17	𪨗	shol
U+2AA18	𪨘	snqr
U+2AA19	𪨙	suoog
U+2AA1A	𪨚	styg
U+2AA1B	𪨛	stmig
U+2AA1C	𪨜	sohon
U+2AA1D	𪨝	suhda
U+2AA1E	𪨞	svslb
U+2AA1F	𪨟	sutca
U+2AA20	𪨠	svofq
U+2AA21	𪨡	sgeo
U+2AA22	𪨢	umy
U+2AA23	𪨣	uon
U+2AA24	𪨤	fu
U+2AA25	𪨥	upd
U+2AA26	𪨦	uomn
U+2AA27	𪨧	uop
U+2AA28	𪨨	uyy
U+2AA29	𪨩	ukqu
U+2AA2A	𪨪	ubbm
U+2AA2B	𪨫	uhhl
U+2AA2C	𪨬	uyvi
U+2AA2D	𪨭	uni
U+2AA2E	𪨮	uni
U+2AA2F	𪨯	isu
U+2AA30	𪨰	utw
U+2AA31	𪨱	ulmo
U+2AA32	𪨲	uoju
U+2AA33	𪨳	uhon
U+2AA34	𪨴	uhjd
U+2AA35	𪨵	qeu
U+2AA36	𪨶	ukkq
U+2AA37	𪨷	umth
U+2AA38	𪨸	urno
U+2AA39	𪨹	urob
U+2AA3A	𪨺	uimi,uiml
U+2AA3B	𪨻	ukbt
U+2AA3C	𪨼	ukmf
U+2AA3D	𪨽	ulpg
U+2AA3E	𪨾	ubbe
U+2AA3F	𪨿	uilu,uilv
U+2AA40	𪩀	ushd
U+2AA41	𪩁	unlm
U+2AA42	𪩂	ujbj
U+2AA43	𪩃	uamo
U+2AA44	𪩄	uuhr
U+2AA45	𪩅	uhag
U+2AA46	𪩆	uoml
