U+2BAEA	𫫪	rmvr,xrmvr
U+2BAEB	𫫫	rmbe
U+2BAEC	𫫬	rgfo
U+2BAED	𫫭	rant
U+2BAEE	𫫮	rfbq
U+2BAEF	𫫯	rkhw
U+2BAF0	𫫰	rbbq
U+2BAF1	𫫱	rboi
U+2BAF2	𫫲	rcpu
U+2BAF3	𫫳	rjcs
U+2BAF4	𫫴	rvfu
U+2BAF5	𫫵	rsfv
U+2BAF6	𫫶	rqhw,xrqhw
U+2BAF7	𫫷	riit
U+2BAF8	𫫸	rtpr,xrtpr
U+2BAF9	𫫹	hryhh,hrykh,mryhh,mrykh
U+2BAFA	𫫺	rsjs
U+2BAFB	𫫻	rtjm
U+2BAFC	𫫼	rwlu
U+2BAFD	𫫽	yreg
U+2BAFE	𫫾	ryho
U+2BAFF	𫫿	rcoi,rcol
U+2BB00	𫬀	rhhd
U+2BB01	𫬁	hlkr
U+2BB02	𫬂	rehw
U+2BB03	𫬃	ryrr
U+2BB04	𫬄	rycv,xrycv
U+2BB05	𫬅	ifr,ixyfr
U+2BB06	𫬆	rfmc
U+2BB07	𫬇	rsfk,xrsfk
U+2BB08	𫬈	rqvd
U+2BB09	𫬉	rtbn,xrtbn
U+2BB0A	𫬊	rcssr
U+2BB0B	𫬋	rrmrb,rrmsb,xrrmr
U+2BB0C	𫬌	rrbnp
U+2BB0D	𫬍	rlyv
U+2BB0E	𫬎	hryub
U+2BB0F	𫬏	rish
U+2BB10	𫬐	rjto,xxxrj
U+2BB11	𫬑	srbhf,srikf
U+2BB12	𫬒	rqtk
U+2BB13	𫬓	rqfs
U+2BB14	𫬔	ggrrr,xggrr
U+2BB15	𫬕	rdka
U+2BB16	𫬖	rbcv,xrbcv
U+2BB17	𫬗	rlie
U+2BB18	𫬘	rwlp
